Goal,Topic,count
Q&A,Xun Zhou,192
Play music,Rain,192
Music recommendation,You're Not Here,192
Play music,Floral Sea,190
Play music,Lonely Shadow,184
Music recommendation,The Promise (Mandarin),184
Food recommendation,Steamed Fish Head with Diced Hot Red Peppers ,181
Play music,You're Not Here,181
Music recommendation,Heartburn,180
Music recommendation,There Is a Place,178
Play music,The Promise (Mandarin),172
Play music,Orchid Pavillion,169
Music recommendation,Lonely Shadow,168
Music recommendation,Dad Where Are We Going?,166
Play music,There Is a Place,165
Q&A,Xiaoming Huang,162
Play music,Run Toward the Future,160
Movie recommendation,Time and Tide,159
Music recommendation,Run Toward the Future,158
Movie recommendation,Moonlight Express,158
Food recommendation,Spicy Crawfish,155
Music recommendation,Heroes of Earth,150
Movie recommendation,Mojin-The Lost Legend,149
Q&A,Cecilia Cheung,147
Play music,Heroes of Earth,146
Play music,There's a place,146
POI recommendation,Chuanlaojiu Chuanchuanxiang,145
Movie recommendation,Days of Being Wild,143
Q&A,Nicholas Tse,141
Movie recommendation,Fly Me to Polaris,141
Movie recommendation,A Fairy Tale in Beijing,141
Play music,Open Fire,141
Music recommendation,Crying Palms,138
Music recommendation,Love Now,136
Food recommendation,Sautéed Shredded Pork in Sweet Bean Sauce,135
Q&A,Jackie Chan,135
Movie recommendation,Call for Love,133
Music recommendation,Who's the Keyman,132
Music recommendation,All the Way,132
Q&A,Leehom Wang,131
POI recommendation,Country Love Dumpling Restaurant,131
Movie recommendation,1:99 Shorts,130
Movie recommendation,Once a Thief,129
Movie recommendation,My Boyfriends,129
Movie recommendation,Hollywood Hong-Kong,128
Music recommendation,The Little Girl Under the Streetlight,128
Play music,November Rain,127
Music recommendation,be torn with grief,126
Q&A,Na Xie,126
Food recommendation,Mapo Tofu,124
Music recommendation,All Of Me,124
Food recommendation,Sautéed Beef Fillet,123
Q&A,Bingbing Fan,123
Q&A,Bo Huang,123
Q&A,Mi Yang,123
POI recommendation,Zhongtian Food Sichuan Cuisine(Normal University store),123
Play music,Dad Where Are We Going?,122
Music recommendation,Blamefully Beautiful,122
Movie recommendation,Jackie Chan: My Stunts,122
Movie recommendation,The Little Prince,121
Music recommendation,Rooftop,120
Music recommendation,And Me,120
Music recommendation,Where Are You Now,120
Movie recommendation,Love in The Buff,120
Music recommendation,A Chinese Ghost Story,120
Movie recommendation,Princess and Seven Kung Fu Masters,120
Movie recommendation,Forever Young,118
Movie recommendation,A Home Too Far II,118
Play music,The Little Girl Under the Streetlight,117
Music recommendation,Beautiful,116
Music recommendation,The Pirate,116
Music recommendation,Snake Dance,116
Play music,Golden Armor,116
POI recommendation,Laoqi Sichuan Restaurant,115
Play music,Rooftop,115
Music recommendation,The Crescent,115
Movie recommendation,The Viral Factor,115
Music recommendation,Explore,114
Movie recommendation,Shaolin Popey,114
Ask about time,Ask date,114
Music recommendation,Who,114
Music recommendation,Free Tutorial Video,114
Music recommendation,Dear Child,114
Movie recommendation,Valerian and the City of a Thousand Planets,113
Movie recommendation,The Breakup Guru,112
Movie recommendation,Anna Magdalena,112
Music recommendation,Golden Armor,112
Music recommendation,Open Fire,112
Movie recommendation,Woman Who Flirt,111
Food recommendation,Kung Pao Chicken,110
Play music,Where Are You Now,110
Movie recommendation,And I Hate You So,110
Movie recommendation,Foreign Lands,109
Play music,Hope for Love,109
Music recommendation,Hope for Love,108
Music recommendation,Secret,108
Music recommendation,Revolution,108
Movie recommendation,Should've Loved You,107
Movie recommendation,July Rhapsody,107
Movie recommendation,New Shaolin Temple,107
Movie recommendation,Perfect Two,107
Play music,Time Machine,107
Music recommendation,November Rain,106
Movie recommendation,Love Is Not a Game But a Joke,106
Music recommendation,12 Zodiacs,106
POI recommendation,Sansheng Sanwei Tantra Sichuan Food(Longfor Paradise Walk Store),106
Play music,The 18 Martial Arts,105
Food recommendation,Sautéed Sweet and Sour Pork Tenderloin,105
POI recommendation,Kwonkimdo Korean Self-served BBQ and Hot Pot,105
Music recommendation,The Years Flow Like Water,104
Movie recommendation,I Am Not Madame Bovary,103
Music recommendation,The Best Voice,102
Music recommendation,The 18 Martial Arts,102
Movie recommendation,Design Of Death,102
Movie recommendation,No Man's Land,102
Music recommendation,Need Some Company,102
Play music,Beautiful,101
Play music,Who's the Keyman,101
Play music,The Crescent,101
Play music,Love Now,101
Play music,Snake Dance,101
Food recommendation,Steamed Chicken with Chili Sauce,101
Movie recommendation,The Message,101
Play music,Need Some Company,101
POI recommendation,Yuweitang Flavour Sichuan Cuisine,100
Play music,The Years Flow Like Water,100
Movie recommendation,Tiramisu,100
Play music,Dear Child,100
Play music,All the Things You Never Knew,99
Play music,The Pirate,99
Play music,Wonerful Happiness,99
Music recommendation,Self Directed Act,98
Movie recommendation,One Night in Mongkok,98
Play music,Years of Friendship,98
Movie recommendation,Throw Down,98
Q&A,Aaron Kwok,98
Music recommendation,A Simple Song,98
Music recommendation,Gardenia,98
Play music,Revolution,98
POI recommendation,Shengtang Fish&Bullfrog No.1 Resyaurant,97
POI recommendation,"Bailechuan Roasted Fish(Fengye Square, Nongye Road)",97
Play music,Free Tutorial Video,97
Music recommendation,Kiss Goodbye,96
Play music,A Simple Song,96
Music recommendation,Must Be Happy,96
Movie recommendation,Fallen City,96
Movie recommendation,The Equation of Love & Death,96
Play music,All Of Me,96
Movie recommendation,Double Xposure,96
Food recommendation,Sweet and Sour Spare Ribs,95
Play music,Explore,95
Play music,Secret,95
Music recommendation,Years of Friendship,94
Play music,A Chinese Ghost Story,94
Movie recommendation,Hand Phone,94
Q&A,The Moon Represents My Heart,93
POI recommendation,Happy dumplings,93
Play music,12 Zodiacs,93
Movie recommendation,A Chinese Ghost Story III:TaoTaoTao,93
Q&A,Hsu Chi,93
Movie recommendation,The Days of Being Dumb,93
Food recommendation,Tossed Clear Noodles in Chili Sauce,93
Music recommendation,Thousands of Songs,92
Movie recommendation,Children From The Distant Planet,92
Music recommendation,Wonerful Happiness,92
Movie recommendation,City of Glass,92
Movie recommendation,Movie recommendation,91
Food recommendation,Stir-Fried Venerupis,90
Play music,Still Think You're the Best,90
Music recommendation,Together We Move On,90
Movie recommendation,Life and Death Plunder,90
Music recommendation,Fireworks Cool Easily,90
Music recommendation,Can You Feel the Love Tonight,90
Movie recommendation,A World Without Thieves,89
Food recommendation,Red-Cooked Pork,89
Music recommendation,She Came to My Concert,89
Movie recommendation,"All's Well, Ends Well 2012",88
Music recommendation,Big Bowl Thick Noodles,88
Play music,Wish You Could Decide,88
Music recommendation,Time Machine,88
Play music,Blamefully Beautiful,88
Play music,Gardenia,88
Play music,So Close So Far,88
Play music,Must Be Happy,88
Music recommendation,Bridge of Faith,88
Food recommendation,Jiaozi Stuffed with Celery,86
Play music,Crying Palms,86
Play music,I Can't Forget You,86
Play music,be torn with grief,86
Movie recommendation,Wu Yen,85
Movie recommendation,Last Winner,85
Play music,Thousands of Songs,85
Food recommendation,Spicy Hot Pot (Little Water),85
Q&A,Revolution,84
Music recommendation,Impossible to Miss You,84
Music recommendation,Still Think You're the Best,84
Q&A,How Are You,84
Movie recommendation,The Swordsman,84
Q&A,True Love,84
Music recommendation,I Can't Forget You,84
Music recommendation,Can't Fight The Feeling,84
Music recommendation,You Hate Me So Much,84
POI recommendation,Xiangyuxuan New Hunan Cuisine (Shouyihui Store),84
Play music,All the Way,83
Food recommendation,Lamb Kebab,82
Music recommendation,Deep Love of Huangpu River,82
Movie recommendation,Infernal Affairs,82
Movie recommendation,Chongqing Blues,82
Movie recommendation,TheBare-Footed Kid,82
Play music,Can You Feel the Love Tonight,82
Q&A,Ruby Lin,81
POI recommendation,Minguo Seafood Dumpling House,81
Q&A,The Promised Love,81
POI recommendation,Unforgettable Hunan Restaurant(Powerlong City Plaza),81
Food recommendation,Beef in Sour Soup,81
Movie recommendation,The Little Chinese Seamstress,80
Music recommendation,Thinking of you,80
Movie recommendation,The Last Tycoon,80
Food recommendation,Peanuts with Black Vinegar,80
Music recommendation,I Waited Until the Flower Withered,80
Movie recommendation,"Lust, Caution",80
Music recommendation,Love You,80
Music recommendation,Miss You,80
Music recommendation,Lingering Memory of Past Love,80
Movie recommendation,A West Lake Moment,79
Play music,Fireworks Cool Easily,79
Play music,Love You,79
POI recommendation,Big belly snow dumplings,79
POI recommendation,Homelike Sichuan Restaurant,79
Play music,Departing One,79
Movie recommendation,The Stool Pigeon,78
POI recommendation,Mr.Fish Roasted,78
Q&A,Miss You,78
Music recommendation,Tide,78
Play music,Tide,78
POI recommendation,Little Pink Fish Sichuan Restaurant(RT Mart store),78
Play music,Impossible to Miss You,77
Movie recommendation,Sacrifice,77
Play music,Who,77
Movie recommendation,Bullet in the Head,77
Movie recommendation,The Island,76
Play music,Big Bowl Thick Noodles,76
Play music,Thinking of you,76
Music recommendation,Hold me down,76
Play music,Can't Fight The Feeling,76
Movie recommendation,Reset,76
Play music,You Hate Me So Much,76
Play music,Bridge of Faith,76
Movie recommendation,Jackie Chan: My Story,75
Movie recommendation,American Dreams in China,75
Movie recommendation,Love Trilogy,75
Music recommendation,Sun & Moon of My Heart,74
Q&A,You Hate Me So Much,74
Movie recommendation,The Crossing I,74
Music recommendation,She's Gone Far Away,74
POI recommendation,Zhaizhai Hunan Restaurant,74
Music recommendation,Departing One,74
Movie recommendation,Beijing Rocks,73
Play music,Deep Love of Huangpu River,73
Movie recommendation,The Love Winner,73
Play music,I Waited Until the Flower Withered,73
Music recommendation,When Distance Keeps us Apart,72
Q&A,Love Is Not a Game But a Joke,72
Music recommendation,Tough Pill,72
Music recommendation,Wish You Could Decide,72
Movie recommendation,Hooked on You,72
Q&A,When Distance Keeps us Apart,72
Music recommendation,So Close So Far,72
Music recommendation,Love Of Eternity,72
Play music,Lingering Memory of Past Love,72
Music recommendation,I'm Really Hurt,71
Movie recommendation,Days of Tomorrow,71
Movie recommendation,My Way,70
Movie recommendation,The Miracle World,70
Play music,She's Gone Far Away,70
Play music,When Distance Keeps us Apart,69
Q&A,The Little Chinese Seamstress,69
Play music,Chivalry,69
Movie recommendation,Hongmao and Lantu:the Fire Phoenix,69
Play music,Hold me down,68
POI recommendation,Old fellow Hunan Cuisine,68
Movie recommendation,The Hidden Battle,68
Movie recommendation,My Dear Son,68
Movie recommendation,Double Tap,68
Play music,She Came to My Concert,68
Movie recommendation,True Love,67
Food recommendation,Spicy Hot Pot,67
Movie recommendation,The Enigma of Love,67
Movie recommendation,New Police Story,67
Play music,Sun & Moon of My Heart,67
Play music,Love Of Eternity,67
Music recommendation,Rain Falls All Night,66
Play music,I'm Really Hurt,66
Music recommendation,Side Face,66
Play music,Together We Move On,66
Movie recommendation,Invisible Target,66
Movie recommendation,The Foreigner,66
POI recommendation,Mingyuan Spicy Hot Pot-Chongqing Roasted Fish,66
POI recommendation,"Laojiu Sichuan Cuisine(Kuanyuanzi Store, the original Sports South Street Store)",66
Movie recommendation,Nana's War,65
Movie recommendation,Unforgettable,65
Play music,Invisible Hands,65
Food recommendation,Steamed Pork with Preserved Vegetable,65
Movie recommendation,Running On Karma,64
Music recommendation,It's Enough,64
Movie recommendation,Levin,64
Music recommendation,If It's Not Love,64
Music recommendation,The Moon Represents My Heart,64
Music recommendation,Poems & Tears,64
Music recommendation,I Love You Meilan,64
Movie recommendation,Everyday is Valentine,64
POI recommendation,"Wochi Spicy(Wanxiang Plaza, Qingdao)",64
Movie recommendation,Port of Call,63
Movie recommendation,Vampire Family,63
POI recommendation,Xiangfulou Hunan Restaurant,63
Q&A,The Message,63
POI recommendation,Pinshuguo Selected Sichuan Restaurant(ScienceTown store),63
Movie recommendation,Anecdote of the Court of Heaven,62
Movie recommendation,Help!!!,62
POI recommendation,Jialinjiang Riverside Sichuan Cuisine,62
Play music,Tough Pill,61
Movie recommendation,Twelve Nights,61
POI recommendation,The Usual Place Sichuan Cuisine,61
POI recommendation,King Chef Sichuan Cuisine,61
Play music,Once,61
POI recommendation,Daqinghua Dumplings(Shiyiwei Road Store),61
Q&A,Dearest,60
Q&A,Double Xposure,60
Music recommendation,Time Boils The Rain,60
Music recommendation,Invisible Hands,60
POI recommendation,Pinshang Grilled Fish (Wuyi Road Store),60
Music recommendation,Once,60
Movie recommendation,Insanity,59
POI recommendation,Tiangengshang Organic Sichuan Restaurant,59
Movie recommendation,Chop Socky: Cinema Hong Kong,59
POI recommendation,Wanzhou Roasted Fish and Spicy Hot Pot,59
POI recommendation,Yuhuohuo Roasted Fish,59
POI recommendation,Fatty Hu Hunan Restaurant,59
Play music,If It's Not Love,58
Movie recommendation,The Beast Stalker,58
Movie recommendation,Murderer,58
Movie recommendation,Metade Fumaca,58
Q&A,Flying Swords of Dragon Gate,57
POI recommendation,Millennials Hometown Roasted Fish,57
Movie recommendation,Farewell My Concubine,57
Play music,Time Boils The Rain,57
Movie recommendation,A Chinese Ghost Story II:The Tao In Human World,57
POI recommendation,Lahuangshang Spicy Pot Roasted Fish,57
Movie recommendation,Cities In Love,57
POI recommendation,Shangwei Hunan Cuisine Restaurant,57
POI recommendation,Love In Special Roasted Fish Hot Pot (New Hualian Store),57
POI recommendation,"Ruiyu Roasted Fish,Hot-spicy Pot and other Dishes（Riyundongfang Store�?,56",56
Q&A,You Will Always Be My Love,56
Movie recommendation,Crazy Stone,56
Movie recommendation,Nana's Rose war,56
Music recommendation,From Now On,56
Music recommendation,Chivalry,56
Movie recommendation,Failan,55
POI recommendation,Jack Cat Roasted Fish Hot Pot (Wanda Store),55
Play music,Poems & Tears,55
POI recommendation,Wanzhou Roasted Fish and Chongqing Casserole Chicken,55
Q&A,Left Right Love Destiny,54
Music recommendation,Ode To Joy,54
POI recommendation,Shujiang Roasted Fish (Jiangning Wanda Store),54
POI recommendation,Ruiyu Roasted Fish,54
POI recommendation,Sana Zone Roasted Fish Hot Pot,54
Music recommendation,A Branch of Plum Blossom,54
Movie recommendation,What a Wonderful World,54
Movie recommendation,Floating City,54
Q&A,The Little Prince,53
Music recommendation,Just Started,52
Movie recommendation,The Legend of Speed,52
Music recommendation,A Man Of Intention,52
Music recommendation,Slowly,52
POI recommendation,Four Girls Sichuan Cuisine,52
Movie recommendation,The Art of Action: Martial Arts in Motion Picture,52
Q&A,Love Net,51
Play music,The Moon Represents My Heart,51
Q&A,To Love You is to Love Myself,51
Q&A,Should've Loved You,51
Movie recommendation,The Witness,51
Movie recommendation,Grandpa's Love,51
Q&A,The Viral Factor,51
Movie recommendation,Fall In Love Like A Star,50
Movie recommendation,Les saisons,50
Movie recommendation,Yang ± Yin: Gender in Chinese Cinema,50
POI recommendation,Wasai Sichuan Restaurant(Meilong Town Store),50
Movie recommendation,Second Time Around,50
Movie recommendation,Crazy Racer,50
POI recommendation,Chongqing Roasted Fish,50
POI recommendation,Laoyoudao Roasted Fish&Spicy Hot Pot,50
Music recommendation,Change Me,49
Movie recommendation,Comic King,49
Play music,From Now On,49
Movie recommendation,Flash Point,49
Movie recommendation,Somebody Up There Likes Me,48
Music recommendation,Love Support,48
POI recommendation,Bayuzhuang Sichuan Restaurant,48
Music recommendation,Sinner,48
POI recommendation,Daxianghui Hunan Cuisine,48
POI recommendation,Xu's Hunan Cuisine(Fangling Road Store),48
Play music,Slowly,47
POI recommendation,Exquisite Sichuan Cuisine (University Town Store),47
Food recommendation,Sautéed Spicy Pork ,46
Music recommendation,Families,46
Food recommendation,Stewed noodles,46
POI recommendation,Going Home Hunan Restaurant,46
Movie recommendation,Buenos Aires Zero Degree,46
Movie recommendation,Hot Summer Days,46
Play music,Secret Garden,46
Movie recommendation,As The Light Goes Out,45
POI recommendation,Dongting Lake Hunan Cuisine,45
POI recommendation,Lugang Seafood & Bengang Sichuan Cuisine,45
POI recommendation,Zhiweixiang Roasted Fish,45
Play music,Sinner,45
POI recommendation,One Plus One Northeastern Chinese Dishes and Dumplings  (Renmin Avenue store),45
POI recommendation,Xinyue Sichuan Cuisine,45
POI recommendation,Hunan Cuisine Restaurant of Juncheng Hotel,44
Play music,Miss You,44
Movie recommendation,Golden Chicken 2,44
Music recommendation,Dream at That Time,44
Movie recommendation,Forever Friends,43
Play music,Side Face,43
Movie recommendation,Buddha Mountain,43
Play music,Heartburn,43
Movie recommendation,From ashes to ashes,43
POI recommendation,Yixiangyuan New Hunan Cuisine,43
Q&A,Days of Being Wild,42
Music recommendation,Ocean,42
Q&A,Wu Yen,42
Play music,It's Enough,42
Q&A,From ashes to ashes,42
Food recommendation,Tofu with Preserved Eggs ,42
POI recommendation,Wazhidao Sichuan Cuisine,42
Movie recommendation,Bodyguards and Assassins,41
POI recommendation,Liuguosanchun Sichuan Cuisine (Global Financial Center Store),41
Movie recommendation,Beauty On Duty,41
Movie recommendation,Happy Camp: Bring Happiness Home,40
Music recommendation,Like That,40
Music recommendation,Superman Can't Fly,40
Movie recommendation,Three Times,40
Movie recommendation,Rumble in the Bronx,40
Play music,Dream at That Time,40
POI recommendation,Tanxian Grilled Fish(Yunlu Central Store),40
Music recommendation,For the Children,40
Music recommendation,Secret Garden,40
Food recommendation,Yu-Shiang Shredded Pork (Sautéed with Spicy Garlic Sauce),39
Movie recommendation,Mr. Right Wanted,39
Movie recommendation,Miracle,39
Q&A,Anna Magdalena,39
POI recommendation,Yufeiyu Fashion Hunan Cuisine,39
Music recommendation,Bicycle,38
Music recommendation,Drunken Master,38
Music recommendation,Love You More Each Day,38
Movie recommendation,Suzhou River,37
Movie recommendation,The Assassin,37
POI recommendation,Gourmets' Hunan Cuisine,37
POI recommendation,Top Chef Sichuan Restaurant(Downtown Store),37
POI recommendation,Made in Human(Jiandeguan Store),37
Music recommendation,Piano Of Sorrow,36
Movie recommendation,Yesteryou Yesterme Yesterday II,36
Music recommendation,Glamour Forever,36
Q&A,The Hidden Battle,36
Music recommendation,You Are a Song Within My Heart,36
Music recommendation,Promise,36
Movie recommendation,Ip Man 2,36
Q&A,"All's Well, Ends Well 2012",36
POI recommendation,No.3 Courtyard Selected Restaurant,36
Music recommendation,The Daytime Never Know The Darkness Of Night,36
Music recommendation,How Are You,36
Play music,Drunken Master,36
POI recommendation,Zhenzhiwei Roasted Fish,36
Movie recommendation,Night Rose,36
Movie recommendation,Traces of a Dragon: Jackie Chan & His Lost Family,35
Movie recommendation,Life Express,35
Music recommendation,Begone Love,34
Music recommendation,Wolf Legend,34
Movie recommendation,20 30 40,34
Movie recommendation,Marru a Prefect Man,34
Music recommendation,Afternoon Tea,34
Play music,Afternoon Tea,34
Music on demand,Heaven & Earth,33
Q&A,Flash Point,33
Music on demand,From Now On,33
Music on demand,Miss You,33
Q&A,Super Player,33
Movie recommendation,"McDull, Prince de la Bun",33
Q&A,Second Time Around,33
Music on demand,Bosom Friend,33
POI recommendation,Tianwaitian Seafood Dumplings(Jiankang Street Store),33
Music recommendation,"Big City, Small Love",32
Music recommendation,Magician,32
POI recommendation,Yuduoduo Roasted Ocean Fish,32
POI recommendation,Qiweiqi Sichuan Restaurant,32
Music recommendation,Dragon Rider,32
POI recommendation,Liushanmen Roasted Fish and Lobster,32
Play music,How Are You,32
POI recommendation,Shujiang Roasted Fish (Swan Lake Wanda Store),32
Movie recommendation,You Deserve To Be Single,31
Play music,Kiss Goodbye,31
Food recommendation,Braised Chicken with Potato and Green Pepper,31
Food recommendation,Hot and Sour Shredded Potato,31
Movie recommendation,Viva Erotica,31
Music on demand,Time Boils The Rain,30
Music recommendation,Heaven & Earth,30
Q&A,Perfect Two,30
Q&A,Forever Friends,30
Movie recommendation,The Ultimate Task,30
Q&A,The Wonderful Wedding,30
Music recommendation,Enchanting Melody,30
Movie recommendation,Nanking 1973,30
Music on demand,The Sun Washed by Spring Rain,30
Movie recommendation,Cold War,30
Music recommendation,It's Time,30
Q&A,The Stool Pigeon,30
Food recommendation,Peanuts and Spinach,29
Food recommendation,Red-Cooked Spare Ribs,29
Food recommendation,Braised Chicken with Mushroom,29
Music recommendation,Blessing,28
Music recommendation,You Will Always Be My Love,28
POI recommendation,Wushan Roasted Fish,28
Movie recommendation,To Live and Die in Tsimshatsui,28
Food recommendation,Steamed Rice Powder and Pork,28
Movie recommendation,My Rice Noodle Shop,28
Q&A,A Simple Song,27
Q&A,Once a Thief,27
Music on demand,There Is a Place,27
Music on demand,Piano in the Attic,27
Music on demand,Stranger In The North,27
POI recommendation,Tanlu Roasted Fish(Wanyuecheng Store),27
POI recommendation,Northeastern Chinese Cuisine Restaurant,27
Music on demand,All the Things You Never Knew,27
Movie recommendation,Happy Together,27
Movie recommendation,Running All The Way,27
POI recommendation,Cary's Sour Soup Beef and Clay Pot Roasted Fish,27
Music on demand,Tough Pill,27
POI recommendation,Baidu Roasted Fish,27
Music recommendation,All These Years,26
Music recommendation,Greenhouse Girl,26
Music recommendation,Music recommendation,26
Movie recommendation,Project Eagle,26
Movie recommendation,The Island Tales,26
Movie recommendation,The Devotion Of Suspect X,26
Movie recommendation,No Sir,26
Movie recommendation,Mini-Bus,26
POI recommendation,Zhou Shuangqiang Sichuan Restaurant,25
Play music,You Will Always Be My Love,25
Movie recommendation,Siao Yu,25
Movie recommendation,Flying Dagger,25
Play music,"Where Are We Going, Dad? ",25
Music on demand,Families,24
Music recommendation,Hand in Hand,24
Music recommendation,The World,24
Q&A,The Years Flow Like Water,24
Q&A,What a Wonderful World,24
Q&A,Bruce Lee: A Warrior's Journey,24
Music on demand,Tide,24
Music recommendation,Don't Be Afraid,24
Music on demand,When wind blows again,24
Music recommendation,Love While Walking (Mandarin),24
Q&A,Afternoon Tea,24
Q&A,Mr. Peabody & Sherman,24
Food recommendation,Jiaozi Stuffed with Mackerel ,24
Q&A,Fallen City,24
Music on demand,I'm a Good Friend,24
Food recommendation,Sautéed Spicy Bullfrog,24
Music recommendation,After Leaving,24
Music on demand,Wonerful Happiness,24
Movie recommendation,City Hunter,24
Q&A,Cities In Love,24
POI recommendation,poached spicy slices of pork,23
Movie recommendation,The Kid,23
Play music,Left Right Hand,23
Movie recommendation,Hema Hema: Sing Me a Song While I Wait,22
Movie recommendation,Bright  Heart,22
Music recommendation,At the Border,22
Food recommendation,Steamed Egg Custard,22
Music recommendation,Left Right Hand,22
Food recommendation,Chicken Wings in Cola,22
Movie recommendation,Flying Swords of Dragon Gate,22
Music on demand,Hand in Hand,21
Music on demand,Thousand Sad Reasons,21
Q&A,Throw Down,21
Play music,Hand in Hand,21
Q&A,A West Lake Moment,21
Music on demand,Chinese Soul,21
Q&A,The Beast Stalker,21
Music on demand,You Are a Song Within My Heart,21
Music on demand,Lonely Shadow,21
Music on demand,A Life Of Fighting Is But A Dream,21
Music on demand,To Love You is to Love Myself,21
Music on demand,The One and Only,21
Q&A,July Rhapsody,21
Music on demand,Greenhouse Girl,21
Movie recommendation,Love For Life,21
Music on demand,Another Self,21
Q&A,Chongqing Blues,21
Music on demand,Rainbow,21
Q&A,A Home Too Far II,21
Food recommendation,Griddle Cooked Cauliflower,21
Music on demand,Love of Houston,21
Q&A,To Miss with Love,21
Music on demand,Dream at That Time,21
Music recommendation,Piano in the Attic,20
Play music,Piano in the Attic,20
Movie recommendation,Millennium Mambo,20
Music recommendation,Hard to Go Back,20
Music recommendation,Strive For Happiness,20
Movie recommendation,Starry Starry Night,20
Food recommendation,Hand-Shredded Chicken,20
Music recommendation,That year,20
Play music,Piano Of Sorrow,19
Movie recommendation,Brotherhood of Blades 2: the Battlefield of Asura,19
Music on demand,Naughty Love,18
Music on demand,Clubbing Girl,18
Music on demand,Glamour Forever,18
Q&A,The Crossing I,18
Movie recommendation,Battle of Wits,18
Music recommendation,Coffee,18
Music on demand,Let Me Feel the Warmth,18
Music on demand,The Only Thing That Matters,18
POI recommendation,Gold Ladle,18
POI recommendation,Yulebaichuan Wushan Roasted Fish,18
Q&A,Nana's War,18
Q&A,Unforgettable,18
Music on demand,Rainy Night Romance,18
Q&A,The Witness,18
Music on demand,If It's Not Love,18
Music on demand,At Least I've Got You,18
Music on demand,Those Years,18
Play music,After Leaving,18
Music on demand,In My Lifetime,18
POI recommendation,Hongyan Classic Hunan Cuisine (Huaita Store),18
POI recommendation,Hunan Flavour Restaurant (Developing District Store ),18
Movie recommendation,Fleeing by Night,17
Food recommendation,Chicken Feet with Pickled Peppers,17
Movie recommendation,The Mirror,17
Play music,Rain Falls All Night,17
Movie recommendation,The Crossing II,16
Movie recommendation,A Simple Life,16
Music recommendation,Normal Breathing and Heartbeat,16
POI recommendation,Veteran Sichuan Restaurant,16
Music recommendation,For Your Heart Only,16
Play music,For Your Heart Only,16
Q&A,Poems & Tears,15
Music on demand,A Man Of Intention,15
Music on demand,Amicable Breakup,15
Music on demand,Not The End Of The World,15
Movie recommendation,Run Papa Run,15
Music on demand,Begone Love,15
Q&A,Princess and Seven Kung Fu Masters,15
Movie recommendation,Double Vision,15
Play music,Hard to Go Back,15
Q&A,After This Our Exile,15
Music on demand,Orchid Pavillion,15
Music on demand,Need Some Company,15
Music on demand,Good Kid,15
Music on demand,Floral Sea,15
Music on demand,Healing Rice Dumpling,15
Music on demand,Crying Palms,15
Q&A,Tide,15
Q&A,And I Hate You So,15
Music on demand,Peking Opera Blues,15
Play music,Wish,15
Food recommendation,Roasted Squid,15
Movie recommendation,A Chinese Ghost Story,15
Movie recommendation,Super Player,14
Music recommendation,Flower Field Mistake,14
Music recommendation,Another Heaven,14
Food recommendation,Sliced Beef in Hot Chili Oil,14
Food recommendation,Hand-Shredded Cabbage,14
Music recommendation,Flower Field Mistake+Sun & Moon of My Heart,14
POI recommendation,Mapo Tofu,14
Movie recommendation,Silent Witness,13
Food recommendation,Corn Flour Pancake,13
Food recommendation,Fried Shrimps in Hot Spicy Sauce,13
Food recommendation,"Jiaozi Stuffed with Chinese Chives, Egg and Dried Shrimps",13
