Goal,Topic,count
Food recommendation,Sliced Fish in Hot Chili Oil,123
Q&A,Xun Zhou,120
Q&A,Kris Wu,120
Play music,You're Not Here,120
Music recommendation,Heroes of Earth,118
Movie recommendation,Jackie Chan: My Stunts,117
Play music,Lonely Shadow,116
Play music,Heroes of Earth,116
Music recommendation,Heartburn,116
Movie recommendation,Moonlight Express,115
POI recommendation,Chuanlaojiu Chuanchuanxiang,113
Food recommendation,Mapo Tofu,108
Q&A,Xiaoming Huang,108
Music recommendation,All Of Me,106
Movie recommendation,My Boyfriends,105
Music recommendation,Lonely Shadow,104
Movie recommendation,Hollywood Hong-Kong,104
Q&A,Jackie Chan,102
POI recommendation,Laoqi Sichuan Restaurant,101
Movie recommendation,Mojin-The Lost Legend,101
Play music,Open Fire,101
Movie recommendation,Days of Being Wild,100
Play music,Run Toward the Future,100
Music recommendation,The Promise (Mandarin),100
Play music,Dad Where Are We Going?,100
Food recommendation,Sautéed Shredded Pork in Sweet Bean Sauce,99
Q&A,Na Xie,99
Play music,The Promise (Mandarin),98
Play music,Golden Armor,97
Music recommendation,Love Now,96
Q&A,Nicholas Tse,96
Music recommendation,The Pirate,96
Music recommendation,Run Toward the Future,96
Movie recommendation,And I Hate You So,96
Movie recommendation,Once a Thief,95
Q&A,Bo Huang,93
Play music,Hope for Love,93
Movie recommendation,Call for Love,92
Music recommendation,Golden Armor,92
Music recommendation,Hope for Love,92
Movie recommendation,A Fairy Tale in Beijing,91
Movie recommendation,The Little Prince,91
Music recommendation,Who's the Keyman,90
Play music,November Rain,89
Food recommendation,Sautéed Sweet and Sour Pork Tenderloin,89
Play music,Time Machine,89
Movie recommendation,Shaolin Popey,88
Movie recommendation,Forever Young,88
Movie recommendation,Throw Down,88
Music recommendation,Crying Palms,88
Movie recommendation,The Breakup Guru,87
Movie recommendation,Fly Me to Polaris,87
Q&A,Mi Yang,87
Movie recommendation,1:99 Shorts,86
Music recommendation,All the Way,86
Movie recommendation,Design Of Death,86
Play music,All Of Me,86
Music recommendation,Where Are You Now,84
Ask about time,Ask date,84
Movie recommendation,Love in The Buff,84
Music recommendation,Secret,84
Play music,The Pirate,82
Music recommendation,Who,82
POI recommendation,Yuweitang Flavour Sichuan Cuisine,82
POI recommendation,Country Love Dumpling Restaurant,82
Q&A,Cecilia Cheung,81
Movie recommendation,Should've Loved You,80
Movie recommendation,July Rhapsody,80
Play music,Where Are You Now,80
Q&A,Leehom Wang,80
Movie recommendation,Woman Who Flirt,80
Music recommendation,Open Fire,80
Music recommendation,The Crescent,79
Movie recommendation,Double Xposure,79
Food recommendation,Kung Pao Chicken,78
Food recommendation,Sautéed Beef Fillet,78
Movie recommendation,A Home Too Far II,78
POI recommendation,Sansheng Sanwei Tantra Sichuan Food(Longfor Paradise Walk Store),78
Movie recommendation,Fallen City,77
Music recommendation,Self Directed Act,76
Music recommendation,November Rain,76
Music recommendation,Beautiful,76
Play music,The 18 Martial Arts,76
Food recommendation,Steamed Fish Head with Diced Hot Red Peppers ,76
Music recommendation,Blamefully Beautiful,76
Play music,Love Now,75
Movie recommendation,No Man's Land,75
Food recommendation,Steamed Chicken with Chili Sauce,75
POI recommendation,Zhongtian Food Sichuan Cuisine(Normal University store),75
Movie recommendation,The Viral Factor,75
Play music,So Close So Far,75
Movie recommendation,Princess and Seven Kung Fu Masters,75
Music recommendation,The 18 Martial Arts,74
Music recommendation,Need Some Company,74
Movie recommendation,Love Is Not a Game But a Joke,73
Play music,Need Some Company,73
Music recommendation,A Chinese Ghost Story,72
Food recommendation,Beef in Sour Soup,72
Music recommendation,Time Machine,72
Music recommendation,Thousands of Songs,72
Food recommendation,Tossed Clear Noodles in Chili Sauce,72
Q&A,Aaron Kwok,71
Music recommendation,And Me,70
Movie recommendation,Children From The Distant Planet,70
Play music,Wonerful Happiness,70
POI recommendation,Mr.Fish Roasted,69
Movie recommendation,Anna Magdalena,69
Q&A,Bingbing Fan,69
Food recommendation,Lamb Kebab,69
Movie recommendation,Infernal Affairs,69
Music recommendation,She Came to My Concert,69
Music recommendation,Big Bowl Thick Noodles,68
Play music,Wish You Could Decide,68
POI recommendation,"Bailechuan Roasted Fish(Fengye Square, Nongye Road)",68
POI recommendation,Little Pink Fish Sichuan Restaurant(RT Mart store),68
Music recommendation,Revolution,68
Play music,Beautiful,67
POI recommendation,Minguo Seafood Dumpling House,67
Food recommendation,Red-Cooked Pork,67
Movie recommendation,Hand Phone,67
Movie recommendation,Last Winner,67
Play music,Thousands of Songs,67
Play music,I Can't Forget You,67
Play music,Secret,67
Music recommendation,Kiss Goodbye,66
Music recommendation,be torn with grief,66
Movie recommendation,Valerian and the City of a Thousand Planets,66
Music recommendation,12 Zodiacs,66
Music recommendation,Deep Love of Huangpu River,66
Music recommendation,Fireworks Cool Easily,66
Movie recommendation,Tiramisu,66
Music recommendation,Gardenia,66
Music recommendation,Can You Feel the Love Tonight,66
Music recommendation,Dear Child,66
POI recommendation,Mingyuan Spicy Hot Pot-Chongqing Roasted Fish,66
Q&A,You Hate Me So Much,65
Music recommendation,The Best Voice,64
Music recommendation,Rooftop,64
Movie recommendation,I Am Not Madame Bovary,64
Movie recommendation,The Last Tycoon,64
Music recommendation,Snake Dance,64
Movie recommendation,A Chinese Ghost Story III:TaoTaoTao,64
Music recommendation,I Can't Forget You,64
Music recommendation,Wonerful Happiness,64
Music recommendation,The Little Girl Under the Streetlight,64
POI recommendation,Kwonkimdo Korean Self-served BBQ and Hot Pot,64
Q&A,The Moon Represents My Heart,63
POI recommendation,Xiangfulou Hunan Restaurant,63
Play music,Who,63
Movie recommendation,A World Without Thieves,62
Movie recommendation,A West Lake Moment,62
Movie recommendation,One Night in Mongkok,62
Play music,The Crescent,62
Music recommendation,Explore,62
Movie recommendation,"Lust, Caution",62
Food recommendation,Spicy Hot Pot (Little Water),62
POI recommendation,Happy dumplings,61
Play music,Deep Love of Huangpu River,61
Movie recommendation,Foreign Lands,60
Food recommendation,Jiaozi Stuffed with Celery,60
Food recommendation,Sweet and Sour Spare Ribs,60
Play music,Big Bowl Thick Noodles,60
Q&A,Hsu Chi,60
Play music,Gardenia,60
Music recommendation,So Close So Far,60
Play music,Can You Feel the Love Tonight,60
Play music,Revolution,60
Play music,Who's the Keyman,59
Play music,Rooftop,59
POI recommendation,Tiangengshang Organic Sichuan Restaurant,59
Play music,12 Zodiacs,59
POI recommendation,Wanzhou Roasted Fish and Spicy Hot Pot,59
Play music,The Years Flow Like Water,59
Play music,She Came to My Concert,59
POI recommendation,"Laojiu Sichuan Cuisine(Kuanyuanzi Store, the original Sports South Street Store)",59
POI recommendation,Xiangyuxuan New Hunan Cuisine (Shouyihui Store),59
Movie recommendation,New Shaolin Temple,58
Movie recommendation,Perfect Two,58
Movie recommendation,The Love Winner,58
Food recommendation,Peanuts with Black Vinegar,58
Play music,Fireworks Cool Easily,58
Play music,All the Way,58
Music recommendation,A Simple Song,58
Music recommendation,The Years Flow Like Water,58
Play music,All the Things You Never Knew,57
Q&A,Ruby Lin,57
Q&A,Revolution,57
Q&A,How Are You,57
Movie recommendation,Hooked on You,57
Q&A,True Love,57
Q&A,When Distance Keeps us Apart,57
Movie recommendation,Chongqing Blues,57
Movie recommendation,Love Trilogy,57
Movie recommendation,"All's Well, Ends Well 2012",56
Music recommendation,Impossible to Miss You,56
Food recommendation,Stir-Fried Venerupis,56
Music recommendation,Together We Move On,56
Music recommendation,Wish You Could Decide,56
Movie recommendation,Sacrifice,56
Movie recommendation,The Swordsman,56
POI recommendation,"Ruiyu Roasted Fish,Hot-spicy Pot and other Dishes��Riyundongfang Store��",56
Play music,Tide,56
Play music,Snake Dance,56
Movie recommendation,Crazy Stone,56
Music recommendation,Free Tutorial Video,56
Play music,The Little Girl Under the Streetlight,56
Music recommendation,You Hate Me So Much,56
Movie recommendation,The Stool Pigeon,55
Movie recommendation,The Miracle World,55
POI recommendation,Jack Cat Roasted Fish Hot Pot (Wanda Store),55
Movie recommendation,Hongmao and Lantu:the Fire Phoenix,55
Q&A,The Promised Love,54
Movie recommendation,My Way,54
POI recommendation,Ruiyu Roasted Fish,54
Movie recommendation,The Message,54
Play music,A Simple Song,54
Play music,Dear Child,54
POI recommendation,Shengtang Fish&Bullfrog No.1 Resyaurant,53
Play music,Crying Palms,53
Movie recommendation,City of Glass,53
Movie recommendation,TheBare-Footed Kid,53
Music recommendation,Tough Pill,52
Play music,Still Think You're the Best,52
Music recommendation,Thinking of you,52
Music recommendation,Hold me down,52
Movie recommendation,Life and Death Plunder,52
Music recommendation,I Waited Until the Flower Withered,52
Play music,Blamefully Beautiful,52
Music recommendation,Can't Fight The Feeling,52
Music recommendation,Must Be Happy,52
Movie recommendation,The Equation of Love & Death,52
POI recommendation,The Usual Place Sichuan Cuisine,52
Music recommendation,Miss You,52
Music recommendation,Lingering Memory of Past Love,52
Music recommendation,Bridge of Faith,52
POI recommendation,King Chef Sichuan Cuisine,52
Food recommendation,Steamed Pork with Preserved Vegetable,52
Q&A,Miss You,51
Play music,Explore,51
Food recommendation,Spicy Hot Pot,51
Play music,A Chinese Ghost Story,51
Q&A,The Little Chinese Seamstress,51
Movie recommendation,The Little Chinese Seamstress,50
POI recommendation,Old fellow Hunan Cuisine,50
Music recommendation,Tide,50
Movie recommendation,New Police Story,50
Play music,I Waited Until the Flower Withered,50
Play music,Must Be Happy,50
Play music,Chivalry,50
Movie recommendation,Beijing Rocks,49
Movie recommendation,The Island,49
Movie recommendation,Days of Tomorrow,49
Movie recommendation,My Dear Son,49
Movie recommendation,The Days of Being Dumb,49
Movie recommendation,Floating City,49
Play music,You Hate Me So Much,49
Play music,Impossible to Miss You,48
Music recommendation,Still Think You're the Best,48
Q&A,Dearest,48
Music recommendation,Years of Friendship,48
Music recommendation,Time Boils The Rain,48
Play music,Time Boils The Rain,48
Music recommendation,Love You,48
Music recommendation,Side Face,48
Music recommendation,Sun & Moon of My Heart,48
Movie recommendation,Double Tap,48
Play music,Years of Friendship,47
Movie recommendation,Wu Yen,47
Music recommendation,I'm Really Hurt,47
Movie recommendation,The Foreigner,47
Movie recommendation,Bullet in the Head,47
Play music,Lingering Memory of Past Love,47
Play music,Bridge of Faith,47
Q&A,The Little Prince,47
Play music,Thinking of you,46
Play music,I'm Really Hurt,46
Movie recommendation,Nana's War,46
Play music,Free Tutorial Video,46
Play music,Sun & Moon of My Heart,46
Movie recommendation,Vampire Family,45
Q&A,Double Xposure,45
Play music,Love You,45
Play music,Can't Fight The Feeling,45
Movie recommendation,Unforgettable,45
Movie recommendation,A Chinese Ghost Story II:The Tao In Human World,45
POI recommendation,Zhiweixiang Roasted Fish,45
POI recommendation,Big belly snow dumplings,45
POI recommendation,Sana Zone Roasted Fish Hot Pot,45
Play music,She's Gone Far Away,45
POI recommendation,Yuhuohuo Roasted Fish,45
POI recommendation,Pinshuguo Selected Sichuan Restaurant(ScienceTown store),45
POI recommendation,One Plus One Northeastern Chinese Dishes and Dumplings  (Renmin Avenue store),45
Q&A,You Will Always Be My Love,44
Music recommendation,It's Enough,44
Movie recommendation,Twelve Nights,44
Music recommendation,Slowly,44
Play music,Invisible Hands,44
Music recommendation,Love Of Eternity,44
Music recommendation,She's Gone Far Away,44
Music recommendation,From Now On,44
Movie recommendation,Jackie Chan: My Story,43
Play music,Hold me down,43
POI recommendation,Unforgettable Hunan Restaurant(Powerlong City Plaza),43
POI recommendation,Daqinghua Dumplings(Shiyiwei Road Store),43
Music recommendation,Rain Falls All Night,42
Play music,Love Of Eternity,42
Movie recommendation,Nana's Rose war,42
Q&A,The Message,42
Play music,Tough Pill,41
Movie recommendation,The Enigma of Love,41
POI recommendation,Wasai Sichuan Restaurant(Meilong Town Store),41
Play music,Slowly,41
Movie recommendation,The Crossing I,41
Play music,be torn with grief,41
POI recommendation,"Wochi Spicy(Wanxiang Plaza, Qingdao)",41
Music recommendation,When Distance Keeps us Apart,40
Play music,When Distance Keeps us Apart,40
Movie recommendation,Fall In Love Like A Star,40
Movie recommendation,Insanity,40
Play music,Together We Move On,40
Music recommendation,Invisible Hands,40
Movie recommendation,Golden Chicken 2,40
Music recommendation,Chivalry,40
Movie recommendation,True Love,39
Q&A,Love Is Not a Game But a Joke,39
Q&A,Flying Swords of Dragon Gate,39
Movie recommendation,Movie recommendation,39
POI recommendation,Lahuangshang Spicy Pot Roasted Fish,39
Movie recommendation,What a Wonderful World,39
POI recommendation,Yufeiyu Fashion Hunan Cuisine,39
POI recommendation,Daxianghui Hunan Cuisine,39
POI recommendation,Xu's Hunan Cuisine(Fangling Road Store),39
Movie recommendation,Anecdote of the Court of Heaven,38
Movie recommendation,Chop Socky: Cinema Hong Kong,38
Movie recommendation,Levin,38
Food recommendation,Stewed noodles,38
Music recommendation,The Moon Represents My Heart,38
Movie recommendation,Invisible Target,38
Movie recommendation,Reset,38
Movie recommendation,Cities In Love,38
POI recommendation,Exquisite Sichuan Cuisine (University Town Store),38
Movie recommendation,Port of Call,37
Movie recommendation,The Beast Stalker,37
Movie recommendation,Beauty On Duty,37
Movie recommendation,The Art of Action: Martial Arts in Motion Picture,37
Q&A,Love Net,36
Q&A,Wu Yen,36
POI recommendation,Dongting Lake Hunan Cuisine,36
Movie recommendation,Comic King,36
POI recommendation,Lugang Seafood & Bengang Sichuan Cuisine,36
Music recommendation,If It's Not Love,36
Movie recommendation,Help!!!,36
Q&A,Should've Loved You,36
Movie recommendation,Grandpa's Love,36
Music recommendation,Poems & Tears,36
Play music,From Now On,36
POI recommendation,Homelike Sichuan Restaurant,36
POI recommendation,Xinyue Sichuan Cuisine,36
Movie recommendation,Running On Karma,35
Movie recommendation,Forever Friends,35
Movie recommendation,The Hidden Battle,35
Movie recommendation,Yang ± Yin: Gender in Chinese Cinema,35
Movie recommendation,The Legend of Speed,35
Food recommendation,Sautéed Spicy Pork ,34
POI recommendation,Liuguosanchun Sichuan Cuisine (Global Financial Center Store),34
Movie recommendation,Les saisons,34
Movie recommendation,Mr. Right Wanted,34
Play music,The Moon Represents My Heart,34
Movie recommendation,The Witness,34
POI recommendation,Four Girls Sichuan Cuisine,34
POI recommendation,Bayuzhuang Sichuan Restaurant,34
Music recommendation,Dream at That Time,34
Movie recommendation,Failan,33
Music recommendation,Change Me,33
Q&A,The Hidden Battle,33
Play music,If It's Not Love,33
Q&A,Super Player,33
Movie recommendation,Buenos Aires Zero Degree,33
Movie recommendation,Metade Fumaca,33
Q&A,The Viral Factor,33
Music recommendation,Superman Can't Fly,32
Movie recommendation,Farewell My Concubine,32
POI recommendation,Gourmets' Hunan Cuisine,32
POI recommendation,Yuduoduo Roasted Ocean Fish,32
Play music,Poems & Tears,32
Movie recommendation,Hot Summer Days,32
Play music,Side Face,32
Music recommendation,I Love You Meilan,32
POI recommendation,Liushanmen Roasted Fish and Lobster,32
Music recommendation,Departing One,32
Movie recommendation,Somebody Up There Likes Me,31
Play music,Departing One,31
Q&A,Days of Being Wild,30
Music on demand,Time Boils The Rain,30
Music recommendation,Families,30
Music recommendation,Piano Of Sorrow,30
Music recommendation,Just Started,30
POI recommendation,Millennials Hometown Roasted Fish,30
Music recommendation,You Are a Song Within My Heart,30
Play music,It's Enough,30
Movie recommendation,Traces of a Dragon: Jackie Chan & His Lost Family,30
Music on demand,Miss You,30
Q&A,To Love You is to Love Myself,30
Movie recommendation,The Ultimate Task,30
Movie recommendation,Three Times,30
Movie recommendation,Life Express,30
Q&A,From ashes to ashes,30
Movie recommendation,Nanking 1973,30
Movie recommendation,Crazy Racer,30
Music recommendation,A Branch of Plum Blossom,30
POI recommendation,Top Chef Sichuan Restaurant(Downtown Store),30
Movie recommendation,Everyday is Valentine,30
POI recommendation,Shangwei Hunan Cuisine Restaurant,30
POI recommendation,Pinshang Grilled Fish (Wuyi Road Store),30
Movie recommendation,American Dreams in China,29
Movie recommendation,Miracle,29
Play music,Miss You,29
Movie recommendation,Buddha Mountain,29
Movie recommendation,As The Light Goes Out,28
POI recommendation,Going Home Hunan Restaurant,28
Food recommendation,Steamed Rice Powder and Pork,28
Movie recommendation,From ashes to ashes,28
POI recommendation,Wazhidao Sichuan Cuisine,28
Q&A,Left Right Love Destiny,27
POI recommendation,Shujiang Roasted Fish (Jiangning Wanda Store),27
Q&A,Perfect Two,27
Movie recommendation,Murderer,27
Q&A,The Wonderful Wedding,27
Q&A,Anna Magdalena,27
Movie recommendation,Running All The Way,27
POI recommendation,No.3 Courtyard Selected Restaurant,27
Play music,Dream at That Time,27
Q&A,Second Time Around,27
Movie recommendation,Flash Point,27
POI recommendation,Love In Special Roasted Fish Hot Pot (New Hualian Store),27
POI recommendation,Laoyoudao Roasted Fish&Spicy Hot Pot,27
POI recommendation,Zhenzhiwei Roasted Fish,27
Music recommendation,Ocean,26
Music recommendation,"Big City, Small Love",26
Movie recommendation,The Assassin,26
Music recommendation,Wolf Legend,26
Music recommendation,Promise,26
Music recommendation,Love Support,26
Movie recommendation,Second Time Around,26
Food recommendation,Tofu with Preserved Eggs ,26
Play music,Kiss Goodbye,25
Movie recommendation,Bodyguards and Assassins,25
Movie recommendation,Suzhou River,25
POI recommendation,Zhou Shuangqiang Sichuan Restaurant,25
POI recommendation,Chongqing Roasted Fish,25
Q&A,A Simple Song,24
Music recommendation,Begone Love,24
Music recommendation,Ode To Joy,24
Music on demand,Piano in the Attic,24
Music on demand,Heaven & Earth,24
Music recommendation,Like That,24
Music recommendation,Greenhouse Girl,24
Music recommendation,A Man Of Intention,24
Q&A,Bruce Lee: A Warrior's Journey,24
Movie recommendation,20 30 40,24
Movie recommendation,Ip Man 2,24
Movie recommendation,Marru a Prefect Man,24
Q&A,Afternoon Tea,24
Q&A,Mr. Peabody & Sherman,24
Music on demand,Tough Pill,24
Music recommendation,Once,24
Play music,Once,24
Music recommendation,How Are You,24
POI recommendation,poached spicy slices of pork,23
Movie recommendation,Happy Camp: Bring Happiness Home,23
POI recommendation,Hunan Cuisine Restaurant of Juncheng Hotel,23
POI recommendation,Qiweiqi Sichuan Restaurant,23
Play music,Heartburn,23
Play music,Left Right Hand,23
Movie recommendation,You Deserve To Be Single,22
Music recommendation,Glamour Forever,22
Music recommendation,Magician,22
Food recommendation,Braised Chicken with Potato and Green Pepper,22
Movie recommendation,Project Eagle,22
Movie recommendation,To Live and Die in Tsimshatsui,22
Music recommendation,The Daytime Never Know The Darkness Of Night,22
POI recommendation,Tanxian Grilled Fish(Yunlu Central Store),22
Play music,How Are You,22
Food recommendation,Hot and Sour Shredded Potato,22
Q&A,Once a Thief,21
Music on demand,Stranger In The North,21
Q&A,The Beast Stalker,21
Music on demand,From Now On,21
Q&A,Forever Friends,21
Music on demand,The One and Only,21
Q&A,"All's Well, Ends Well 2012",21
Music on demand,Tide,21
Music on demand,Another Self,21
POI recommendation,Jialinjiang Riverside Sichuan Cuisine,21
Q&A,The Stool Pigeon,21
POI recommendation,Fatty Hu Hunan Restaurant,21
Movie recommendation,Yesteryou Yesterme Yesterday II,20
Music recommendation,The World,20
Music recommendation,You Will Always Be My Love,20
Food recommendation,Peanuts and Spinach,20
Music recommendation,All These Years,20
Music recommendation,Don't Be Afraid,20
Food recommendation,Jiaozi Stuffed with Mackerel ,20
Music recommendation,Left Right Hand,20
Music recommendation,For the Children,20
Movie recommendation,Night Rose,20
Play music,Piano Of Sorrow,19
Movie recommendation,The Kid,19
Movie recommendation,The Devotion Of Suspect X,19
Food recommendation,Sautéed Spicy Bullfrog,19
Movie recommendation,My Rice Noodle Shop,19
Music on demand,Clubbing Girl,18
Music on demand,Thousand Sad Reasons,18
Music on demand,There Is a Place,18
Q&A,Throw Down,18
Music recommendation,Bicycle,18
Q&A,Flash Point,18
Food recommendation,Yu-Shiang Shredded Pork (Sautéed with Spicy Garlic Sauce),18
POI recommendation,Wushan Roasted Fish,18
Music recommendation,Heaven & Earth,18
POI recommendation,Gold Ladle,18
POI recommendation,Yulebaichuan Wushan Roasted Fish,18
POI recommendation,Tanlu Roasted Fish(Wanyuecheng Store),18
Q&A,July Rhapsody,18
POI recommendation,Northeastern Chinese Cuisine Restaurant,18
Music recommendation,Enchanting Melody,18
Music on demand,All the Things You Never Knew,18
Music on demand,When wind blows again,18
Movie recommendation,Happy Together,18
POI recommendation,Zhaizhai Hunan Restaurant,18
Q&A,A Home Too Far II,18
POI recommendation,Cary's Sour Soup Beef and Clay Pot Roasted Fish,18
Movie recommendation,Flying Dagger,18
Music on demand,Bosom Friend,18
POI recommendation,Tianwaitian Seafood Dumplings(Jiankang Street Store),18
Music recommendation,Afternoon Tea,18
POI recommendation,Wanzhou Roasted Fish and Chongqing Casserole Chicken,18
Play music,Piano in the Attic,17
Play music,You Will Always Be My Love,17
Food recommendation,Chicken Feet with Pickled Peppers,17
Play music,Afternoon Tea,17
Movie recommendation,City Hunter,17
Movie recommendation,Viva Erotica,17
Music recommendation,Blessing,16
Music recommendation,Piano in the Attic,16
Music recommendation,Hand in Hand,16
Music recommendation,Coffee,16
Food recommendation,Red-Cooked Spare Ribs,16
Music recommendation,Dragon Rider,16
Music recommendation,After Leaving,16
Music recommendation,Love You More Each Day,16
POI recommendation,Shujiang Roasted Fish (Swan Lake Wanda Store),16
Music on demand,Naughty Love,15
Music on demand,Families,15
Music on demand,Glamour Forever,15
Play music,Hand in Hand,15
Q&A,The Crossing I,15
Q&A,Poems & Tears,15
Q&A,A West Lake Moment,15
Music on demand,Chinese Soul,15
Music on demand,You Are a Song Within My Heart,15
Music on demand,Lonely Shadow,15
Music on demand,A Life Of Fighting Is But A Dream,15
Music on demand,To Love You is to Love Myself,15
Movie recommendation,Double Vision,15
Movie recommendation,Rumble in the Bronx,15
Music on demand,Greenhouse Girl,15
Music on demand,The Sun Washed by Spring Rain,15
Movie recommendation,Love For Life,15
Q&A,Chongqing Blues,15
Music on demand,Rainbow,15
Movie recommendation,Siao Yu,15
Music on demand,Orchid Pavillion,15
Movie recommendation,"McDull, Prince de la Bun",15
Q&A,Fallen City,15
Music on demand,Floral Sea,15
Music on demand,If It's Not Love,15
Music on demand,Those Years,15
Music on demand,Crying Palms,15
Q&A,To Miss with Love,15
Music on demand,Dream at That Time,15
Play music,Wish,15
Movie recommendation,A Chinese Ghost Story,15
Movie recommendation,Battle of Wits,14
Movie recommendation,Super Player,14
Music recommendation,Music recommendation,14
Movie recommendation,A Simple Life,14
Music recommendation,At the Border,14
Movie recommendation,The Island Tales,14
Food recommendation,Steamed Egg Custard,14
Music recommendation,Normal Breathing and Heartbeat,14
Food recommendation,Sliced Beef in Hot Chili Oil,14
Movie recommendation,Brotherhood of Blades 2: the Battlefield of Asura,14
Movie recommendation,Silent Witness,13
Food recommendation,Griddle Cooked Cauliflower,13
Movie recommendation,No Sir,13
Music on demand,Hand in Hand,12
Movie recommendation,The Crossing II,12
Q&A,Ip Man 2,12
Movie recommendation,Millennium Mambo,12
Music on demand,You Hate Me So Much,12
Movie recommendation,Hema Hema: Sing Me a Song While I Wait,12
Movie recommendation,Fleeing by Night,12
Music on demand,Let Me Feel the Warmth,12
Music on demand,Amicable Breakup,12
Music on demand,You're My Love,12
Q&A,The Years Flow Like Water,12
Q&A,What a Wonderful World,12
Music on demand,Love Net,12
Q&A,Nana's War,12
Q&A,The Paranormal:2002,12
Music on demand,Wow!,12
Q&A,The Breakup Guru,12
Music recommendation,Sinner,12
Music on demand,Rainy Night Romance,12
Movie recommendation,Cold War,12
Music on demand,All the Way,12
Food recommendation,Braised Chicken with Mushroom,12
Music on demand,The Butterfly Murders,12
Music on demand,I'm a Good Friend,12
Music on demand,Love of Houston,12
Play music,After Leaving,12
Food recommendation,Chicken Wings in Cola,12
Music recommendation,It's Time,12
Music on demand,Wonerful Happiness,12
Movie recommendation,The Paranormal:2002,12
Q&A,And I Hate You So,12
Q&A,A Fairy Tale in Beijing,12
Music recommendation,Wish,12
Movie recommendation,Flying Swords of Dragon Gate,11
Movie recommendation,Run Papa Run,10
Music recommendation,Flower Field Mistake,10
Movie recommendation,Bright  Heart,10
Music recommendation,Another Heaven,10
Food recommendation,Hand-Shredded Cabbage,10
Music recommendation,Flower Field Mistake+Sun & Moon of My Heart,10
Music on demand,The Era,9
Music on demand,Sleepless Night,9
Music on demand,Golden Armor,9
Music on demand,Magician,9
Music on demand,A Man Of Intention,9
Music on demand,Hand in Hand Promise,9
Music on demand,The Only Thing That Matters,9
Music on demand,Silence is Gold,9
Q&A,Earth: One Amazing Day,9
Music on demand,Impossible to Miss You,9
Music on demand,be torn with grief,9
Music on demand,Begone Love,9
Q&A,Princess and Seven Kung Fu Masters,9
Q&A,Unforgettable,9
Music on demand,Wish You Could Decide,9
Music on demand,Dragon Rider,9
Food recommendation,Corn Flour Pancake,9
Q&A,Last Winner,9
Music on demand,Wolf Legend,9
Music on demand,Could You Love Me?,9
POI recommendation,Steamed Rice Powder and Pork,9
Music on demand,Need Some Company,9
Music on demand,You are the Most Precious,9
Music on demand,Ordinary Heart,9
Music on demand,Rain Falls All Night,9
Q&A,New Shaolin Temple,9
Q&A,The Witness,9
Music on demand,Healing Rice Dumpling,9
Food recommendation,Braised Hairtail in Brown Sauce ,9
Music on demand,Little Love,9
Music on demand,I'm Really Hurt,9
Music on demand,Rain,9
Play music,Drunken Master,9
Music on demand,Don't Be Afraid,9
Music on demand,In My Lifetime,9
Q&A,A Simple Life,9
Music on demand,Drunk in Love,9
POI recommendation,Yixiangyuan New Hunan Cuisine,9
POI recommendation,Mapo Tofu,9
